,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
264,264,30,B,If you are prone to postpone work what will you have to do in order to finish on time?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eat', 'hasten', 'antedate', 'bring forward', 'advance'],
      dtype=object)}",eat,hasten,antedate,bring forward,,"### If you are prone to postpone work what will you have to do in order to finish on time? (A) eat (B) hasten (C) antedate (D) bring forward 
 ### ","
 ### (B) hasten 
 ### (B) hasten 

 ### (B) hasten 

 ### (B) hasten 

 ### (B) hasten 

If you are prone to"
265,265,1050,A,What animal is known for being a follower?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['goat', 'expensive', 'lion', 'wolf', 'meadow'], dtype=object)}",goat,expensive,lion,wolf,,"### What animal is known for being a follower? (A) goat (B) expensive (C) lion (D) wolf 
 ### ","4) wolf 
A) goat 
B) expensive 
C) lion
D) wolf 
 ### (A) goat 
 ### (A) goat 

 ### (A) goat 
 ### (A) goat 
 ### (A)"
266,266,153,D,In order to learn to program from another person you can do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['learn how to', 'have a friend', 'knowledge', 'take class',
       'have computer'], dtype=object)}",learn how to,have a friend,knowledge,take class,,"### In order to learn to program from another person you can do what? (A) learn how to (B) have a friend (C) knowledge (D) take class 
 ### ","1) learn how to 
In order to learn to program from another person, you can learn how to do so by watching them. This can be done by  (A) learning how to (B) having a friend (C) knowledge (D) taking classes 
 ### ("
267,267,321,A,Sarah dropped the marble because she wanted to do what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['game', 'pouch', 'home', 'store', 'jar'], dtype=object)}",game,pouch,home,store,,"### Sarah dropped the marble because she wanted to do what? (A) game (B) pouch (C) home (D) store 
 ### ","
 ### (A) game 
 ### (A) game 

 ### (A) game 


 ### (A) game 


 ### (A) game 



 ### (A) game 




 ### (A) game 



"
268,268,87,B,"If you're remembering something, it's because of your what of it to begin with?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['knowledge', 'knowing', 'forgetful', 'pleasure', 'depression'],
      dtype=object)}",knowledge,knowing,forgetful,pleasure,,"### If you're remembering something, it's because of your what of it to begin with? (A) knowledge (B) knowing (C) forgetful (D) pleasure 
 ### ","2) knowing 
 ### 2) knowing 
 ### 2) knowing 
I'm glad you're interested in my answer, but I think you might be misunderstanding. The correct answer is 2) knowing 
Knowing refers to the"
269,269,893,D,What is someone operating a vehicle likely to be accused of after becoming inebriated?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['punish', 'arrest', 'automobile accidents', 'drunk driving',
       'talking nonsense'], dtype=object)}",punish,arrest,automobile accidents,drunk driving,,"### What is someone operating a vehicle likely to be accused of after becoming inebriated? (A) punish (B) arrest (C) automobile accidents (D) drunk driving 
 ### ","4) automobile accidents 
 ### (B) arrest 
 ### (B) arrest 
Comments are closed on this question. 
 ### (B) arrest 
 ### (B) arrest 
 ### (B) arrest 
Com"
270,270,800,D,What might happen if someone is not losing weight?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['loose skin', 'beauty', 'miss universe', 'death', 'healthier'],
      dtype=object)}",loose skin,beauty,miss universe,death,,"### What might happen if someone is not losing weight? (A) loose skin (B) beauty (C) miss universe (D) death 
 ### ","
 ### (A) loose skin 
 ### (A) loose skin 

 ### (A) loose skin 

 ### (A) loose skin 

 ### (A) loose skin 

 ### (A) loose skin 

 ### (A) loose skin 

 ### (A"
271,271,627,B,"The town house went right to the curb, a slot effectively made a mailbox of the what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['apartment building', 'front door', 'back door', 'street corner',
       'porch'], dtype=object)}",apartment building,front door,back door,street corner,,"### The town house went right to the curb, a slot effectively made a mailbox of the what? (A) apartment building (B) front door (C) back door (D) street corner 
 ### ","1) apartment building 
 ### 1) apartment building 
 ### 1) apartment building 
Normally, a mailbox would be located somewhere inside a residence, but in this case, the mailbox is in a what"
272,272,1220,C,What is another name for a disk for storing information?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['computer store', 'computer to store data', 'computer hard drive',
       'cd player', 'usb mouse'], dtype=object)}",computer store,computer to store data,computer hard drive,cd player,,"### What is another name for a disk for storing information? (A) computer store (B) computer to store data (C) computer hard drive (D) cd player 
 ### ","3) computer hard drive 
 ### 3) computer hard drive 
 ### 3) computer hard drive 
A) computer store 
B) computer to store data 
C) cd player 
D) data storage 
 ### Data storage 
 ### Data storage "
273,273,372,B,What is the most famous constellation out of earth?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['one moon', 'milky way', ""god's creation"", 'stars', 'universe'],
      dtype=object)}",one moon,milky way,god's creation,stars,,"### What is the most famous constellation out of earth? (A) one moon (B) milky way (C) god's creation (D) stars 
 ### ","4) milky way 
 ### (B) milky way 
 ### (B) milky way 
I'm glad you're interested in learning about the milky way! It's a fascinating topic, and there's a lot to learn. The"
274,274,194,C,What is the primary purpose of cars?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cost money', 'slow down', 'move people', 'turn right',
       'get girls'], dtype=object)}",cost money,slow down,move people,turn right,,"### What is the primary purpose of cars? (A) cost money (B) slow down (C) move people (D) turn right 
 ### ","3) move people 
 ### 3) move people 
 ### Which of the following is true? 
A) cost money 
B) slow down 
C) turn right 
D) move people 
 ### (D) move people 
 ### (D) move people 

 ###"
275,275,333,A,What is happening while he's playing basketball for such a long time?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['sweating', 'pain', 'having fun', 'medium', 'knee injury'],
      dtype=object)}",sweating,pain,having fun,medium,,"### What is happening while he's playing basketball for such a long time? (A) sweating (B) pain (C) having fun (D) medium 
 ### ","3) having fun 
 ### 3) having fun 
 ### 3) having fun 
Natural temperature regulation is a vital function that our bodies are able to do with little effort, but it takes a lot of sweat to  (A) keep the body cool (B"
276,276,550,A,Where could you go to between 1000 and 10000 restaurant?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['big city', 'town', 'small town', 'canada', 'yellow pages'],
      dtype=object)}",big city,town,small town,canada,,"### Where could you go to between 1000 and 10000 restaurant? (A) big city (B) town (C) small town (D) canada 
 ### ","10000 restaurants 
(D) canada 
 ### (D) canada 
 ### (D) canada 
Combining the information from the previous questions, the answer is Canada 
 ### (D) canada "
277,277,822,C,Where off the eastern U.S. would you find an anemone?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['flower bed', 'tide pool', 'florida keys', 'coral sea', 'aquarium'],
      dtype=object)}",flower bed,tide pool,florida keys,coral sea,,"### Where off the eastern U.S. would you find an anemone? (A) flower bed (B) tide pool (C) florida keys (D) coral sea 
 ### ","4) coral sea 
 ### (B) tide pool 
 ### (B) tide pool 

 ### (B) tide pool 
 ### Which of the following is true?  (A) anemones are found in coral"
278,278,75,B,"If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['irritability', 'depression', 'getting out of bed', 'happiness',
       'discomfort'], dtype=object)}",irritability,depression,getting out of bed,happiness,,"### If you are awaking multiple times throughout the night because a lot is on your mind, what is a likely cause? (A) irritability (B) depression (C) getting out of bed (D) happiness 
 ### ","
A) irritability 
 ### (A) irritability 
 ### (A) irritability 
Nighttime is often when the mind is most active, and this is true for everyone. If you are"
279,279,559,A,"The teacher knew her students understood division, what was she hoping they would learn next?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['multiplication', 'multiply', 'putting together', 'unity',
       'pay debts'], dtype=object)}",multiplication,multiply,putting together,unity,,"### The teacher knew her students understood division, what was she hoping they would learn next? (A) multiplication (B) multiply (C) putting together (D) unity 
 ### ","
 ### (A) multiplication 
 ### (A) multiplication 
D) unity 
 ### (A) multiplication 

 ### (A) multiplication 

 ### (A) multiplication 

 ### (A) multiplication 

 ### (A) multiplication 

"
280,280,96,B,Billy set aside a block of time for having fun after work. Why might he do this?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['happiness', 'stress relief', 'pleasure', 'ocean', 'may laugh'],
      dtype=object)}",happiness,stress relief,pleasure,ocean,,"### Billy set aside a block of time for having fun after work. Why might he do this? (A) happiness (B) stress relief (C) pleasure (D) ocean 
 ### ","
 ### (B) stress relief 
 ### (B) stress relief 

 ### (B) stress relief 

 ### (B) stress relief 

 ### (B) stress relief 

 ### (B) stress relief 

 ### (B)"
281,281,1078,A,"The merchant wanted to open in a high-traffic space, where did he rent space?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['mall', 'business', 'store', 'sale', 'sell goods'], dtype=object)}",mall,business,store,sale,,"### The merchant wanted to open in a high-traffic space, where did he rent space? (A) mall (B) business (C) store (D) sale 
 ### ","1) mall 
 ### 1) mall 
 ### 1) mall 
Normally, a merchant would want to rent space in a mall, as there is a high volume of foot traffic, and it is a captive audience, as people"
282,282,19,D,Where do adults use glue sticks?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['classroom', 'desk drawer', 'at school', 'office',
       'kitchen drawer'], dtype=object)}",classroom,desk drawer,at school,office,,"### Where do adults use glue sticks? (A) classroom (B) desk drawer (C) at school (D) office 
 ### ","4) at school 
 ### (D) office 
 ### (D) office 
 ### (D) office 
 ### (D) office 
A glue stick is used in an office setting by an adult. 
 ### (D) office 
 ### (D) office "
283,283,883,A,What probably has a lot of dust in the back?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['closet', 'door', 'corner', 'shelf', 'library'], dtype=object)}",closet,door,corner,shelf,,"### What probably has a lot of dust in the back? (A) closet (B) door (C) corner (D) shelf 
 ### ","1) closet 
 ### 1) closet 
001000111100000000000000000000000000000000000000000"
284,284,855,A,Why would a woman kill a stranger she met in a dark alley?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['being raped', 'get rid of', ""they didn't know the passcode"",
       'get revenge', 'were evil'], dtype=object)}",being raped,get rid of,they didn't know the passcode,get revenge,,"### Why would a woman kill a stranger she met in a dark alley? (A) being raped (B) get rid of (C) they didn't know the passcode (D) get revenge 
 ### ","
 ### (D) get revenge 
 ### (D) get revenge 
 ### (D) get revenge 
You're right, I made a mistake. The answer is (D) get revenge 
 ###"
285,285,1000,A,"The person signed up for home insurance, what is he seeking?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['financial security', 'live well', 'good relationship',
       'compliments', 'discounted furniture'], dtype=object)}",financial security,live well,good relationship,compliments,,"### The person signed up for home insurance, what is he seeking? (A) financial security (B) live well (C) good relationship (D) compliments 
 ### ","
 ### (A) financial security 
 ### (A) financial security 
Normally, when a person buys home insurance, they are seeking financial security in the event that something bad happens to their home. They want to be sure that if, for example, their home is"
286,286,375,A,"If a court case is dismissed after hearing testimony, what would be a likely cause?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['change of heart', 'anguish', 'anger', 'boredom', 'anxiety'],
      dtype=object)}",change of heart,anguish,anger,boredom,,"### If a court case is dismissed after hearing testimony, what would be a likely cause? (A) change of heart (B) anguish (C) anger (D) boredom 
 ### ","1) change of heart 
 ### 1) change of heart 
In this case, the court dismisses the case because the parties involved have reached a new understanding or resolution, either through direct talks or with the help of mediators. This could"
287,287,911,D,Where is a good place to set a cup of coffee while relaxing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['coffee shop', 'kitchen', 'hand', 'table', 'office'], dtype=object)}",coffee shop,kitchen,hand,table,,"### Where is a good place to set a cup of coffee while relaxing? (A) coffee shop (B) kitchen (C) hand (D) table 
 ### ","2) kitchen 
 ### 2) kitchen 
 ### 2) kitchen 
Normally, a person would set a cup of coffee in the kitchen, as it is the area where food is prepared and cooked. However, if a person is in a coffee shop, they would set"
288,288,155,D,What part of plants is pretty?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dirt', 'no neurons in', 'millions of cells', 'flowers on',
       'roots'], dtype=object)}",dirt,no neurons in,millions of cells,flowers on,,"### What part of plants is pretty? (A) dirt (B) no neurons in (C) millions of cells (D) flowers on 
 ### ","3) millions of cells 
 ### (D) flowers on 
 ### (D) flowers on 

 ### Which of these is a pollination reproductive organ?  (A) dirt (B) no neurons in (C) millions of cells (D) flowers on 
"
289,289,1151,B,Traveling from new place to new place is likely to be what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['going somewhere', 'exhilarating', 'diarrhea', 'relocation',
       'exhausting'], dtype=object)}",going somewhere,exhilarating,diarrhea,relocation,,"### Traveling from new place to new place is likely to be what? (A) going somewhere (B) exhilarating (C) diarrhea (D) relocation 
 ### ","1) going somewhere 
 ### 1) going somewhere 
 ### Which of these is a reason to consider relocation?  (B) exhilarating 
 ### (D) relocation 
 ### (D) relocation 
 ### Which of"
290,290,224,A,"Joan wants to cook a potato, where should she place it?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['boiling water', 'paper bag', 'restaurants', 'underground',
       'cupboard'], dtype=object)}",boiling water,paper bag,restaurants,underground,,"### Joan wants to cook a potato, where should she place it? (A) boiling water (B) paper bag (C) restaurants (D) underground 
 ### ","1) boiling water 
 ### 1) boiling water 
 ### 1) boiling water 
 ### Which of the following is a potato? 
 ### 1) boiling water 
 ### 1) boiling water 
I hope this helps"
291,291,181,C,Where do you find the most amount of leafs?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['floral arrangement', 'ground', 'forrest', 'field', 'compost pile'],
      dtype=object)}",floral arrangement,ground,forrest,field,,"### Where do you find the most amount of leafs? (A) floral arrangement (B) ground (C) forrest (D) field 
 ### ","1) floral arrangement 
 ### 1) floral arrangement 
 ### Which of these is a pollination reproductive organ?  (A) ground (B) floral arrangement (C) forrest (D) field 
 ### (B) floral arrangement 
 ### (B"
292,292,396,D,Where does one usually keep literature?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['books and magazines', 'own home', 'kitchen', 'shelf', 'meeting'],
      dtype=object)}",books and magazines,own home,kitchen,shelf,,"### Where does one usually keep literature? (A) books and magazines (B) own home (C) kitchen (D) shelf 
 ### ","2) own home 
 ### 2) own home 
 ### 2) own home 
D) shelf 
 ### D) shelf 
 ### D) shelf 
A) books and magazines 
B) own home 
C) kitchen 
D) sh"
293,293,172,A,A supermarket is uncommon in what type of collection of shops?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['strip mall', 'city or town', 'shoppingcentre', 'boutique',
       'vermont'], dtype=object)}",strip mall,city or town,shoppingcentre,boutique,,"### A supermarket is uncommon in what type of collection of shops? (A) strip mall (B) city or town (C) shoppingcentre (D) boutique 
 ### ","1) strip mall 
 ### 1) strip mall 
 ### 1) strip mall 
Normally, a supermarket is located in a strip mall, which is a collection of shops that are usually next to each other and"
294,294,235,D,"The lady would eat and eat, and because of mental issues would then make herself what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['wash dishes', 'throwing up', 'drinking', 'throw up',
       'turn inside out'], dtype=object)}",wash dishes,throwing up,drinking,throw up,,"### The lady would eat and eat, and because of mental issues would then make herself what? (A) wash dishes (B) throwing up (C) drinking (D) throw up 
 ### ","2) wash dishes 
 ### 2) wash dishes 
 ### 2) wash dishes 
A) wash dishes 
 ### A) wash dishes 
A) wash dishes 
 ###"
295,295,1086,D,"Dance can be elegant and specific, or you can just have fun and what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['falling down', 'trip', 'fall down', 'move around', 'celebrate'],
      dtype=object)}",falling down,trip,fall down,move around,,"### Dance can be elegant and specific, or you can just have fun and what? (A) falling down (B) trip (C) fall down (D) move around 
 ### ","7) be silly 
 ### (D) move around 
 ### (D) move around 
A person can dance in their living room alone, or they can dance in a crowd with others, and in both cases, they can  (A) fall down (B) trip"
296,296,1118,D,How would you express information if you do not have a pen or pencil?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['may disagree', 'close mouth', 'write down', 'talk', 'eyes'],
      dtype=object)}",may disagree,close mouth,write down,talk,,"### How would you express information if you do not have a pen or pencil? (A) may disagree (B) close mouth (C) write down (D) talk 
 ### ","7) may disagree 
 ### 7) may disagree 
 ### 7) may disagree 
This answer is incorrect. 
The correct answer is 7) talk 
 ### 7) talk 
 ### 7) talk 
 ###"
297,297,0,A,"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bank', 'library', 'department store', 'mall', 'new york'],
      dtype=object)}",bank,library,department store,mall,,"### A revolving door is convenient for two direction travel, but it also serves as a security measure at a what? (A) bank (B) library (C) department store (D) mall 
 ### ","0) None of the options provided are correct 
 ### (A) bank 
 ### (A) bank 
 ### (A) bank 
 ### (A) bank 
The answer is option (A) bank 

 ### (A"
298,298,552,D,Where is a statute found on a platform?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['below', 'arena', 'concert hall', 'museum', 'building'],
      dtype=object)}",below,arena,concert hall,museum,,"### Where is a statute found on a platform? (A) below (B) arena (C) concert hall (D) museum 
 ### ","1) below 
 ### 1) below 
 ### None of the options provided are correct 
 ### (A) below 
 ### (A) below 

 ### (A) below 

 ### (A) below 

 ### (A) below 

 ### (A) below"
299,299,277,C,The old style pop ups literally let you see the story when you did what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['giggle', 'visualize', 'open book', 'reading', 'go to movies'],
      dtype=object)}",giggle,visualize,open book,reading,,"### The old style pop ups literally let you see the story when you did what? (A) giggle (B) visualize (C) open book (D) reading 
 ### ","0) None of the options provided are correct 
 ### (C) open book 
 ### (C) open book 
 ### (C) open book 

 ### (C) open book 
 ### (C) open book 
 ### (C) open book "
300,300,456,A,"They wanted to recognize his accomplishment, where should they put his name?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['certificate', 'directory', 'phone book', 'lineup', 'roster'],
      dtype=object)}",certificate,directory,phone book,lineup,,"### They wanted to recognize his accomplishment, where should they put his name? (A) certificate (B) directory (C) phone book (D) lineup 
 ### ","1) certificate 
 ### 1) certificate 
 ### 1) certificate 
In this scenario, the best answer is 1) certificate 
A certificate is a document that acknowledges a person's accomplishment, such as a diploma or a trophy. It is"
301,301,222,A,"The car was going from Alabama to New York, what was its goal?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['head north', 'speed up', 'heading north', 'go fast',
       'headed south'], dtype=object)}",head north,speed up,heading north,go fast,,"### The car was going from Alabama to New York, what was its goal? (A) head north (B) speed up (C) heading north (D) go fast 
 ### ","1) head north 
 ### 1) head north 
 ### 1) head north 
In this case, the car is traveling north, so the answer is 1) head north 

 ### 1) head north 
In this case, the car"
302,302,1101,A,"Where can you find the meaning of ""ficus""?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['dictionary', 'apartment', 'libary', 'middle east', 'arboretum'],
      dtype=object)}",dictionary,apartment,libary,middle east,,"### Where can you find the meaning of ""ficus""? (A) dictionary (B) apartment (C) libary (D) middle east 
 ### ","1) dictionary 
 ### 1) dictionary 
 ### 1) dictionary 
The answer is 1) dictionary 
 ### Which of these is a source of the word ""ficus""?  (A) a dictionary (B) a library (C) the bible (D) the q"
303,303,602,D,What can you use to store a book while traveling?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['library of congress', 'pocket', 'backpack', 'suitcase',
       'synagogue'], dtype=object)}",library of congress,pocket,backpack,suitcase,,"### What can you use to store a book while traveling? (A) library of congress (B) pocket (C) backpack (D) suitcase 
 ### ","4) backpack 
 ### 4) backpack 
 ### Which of these would be the most useful item to have with you when traveling?  (A) library of congress (B) pocket (C) backpack (D) suitcase 
 ### (C) back"
304,304,169,C,"When you fail to finish something, you failed at doing what to it","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['winning', 'passing', 'completing', 'do well', 'succeeding'],
      dtype=object)}",winning,passing,completing,do well,,"### When you fail to finish something, you failed at doing what to it (A) winning (B) passing (C) completing (D) do well 
 ### ","3) completing 
 ### 3) completing 
A) winning 
B) passing 
C) do well 
D) finishing 
 ### (C) do well 
 ### (C) do well 

 ### (C) do well 

 ###"
305,305,342,B,"Pens, computers, text books and paper clips can all be found where?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['desktop', 'university', 'drawer', 'table', 'work'], dtype=object)}",desktop,university,drawer,table,,"### Pens, computers, text books and paper clips can all be found where? (A) desktop (B) university (C) drawer (D) table 
 ### ","0) None of the options provided are correct 
 ### (D) table 
 ### (D) table 
 ### (D) table 
 ### (D) table 
 ### (D) table 
 ### (D) table 
 ### (D) table 
"
306,306,438,D,Where could you find hundreds of beauty salon?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['clerk', 'mall', 'strip mall', 'city', 'neighborhood'],
      dtype=object)}",clerk,mall,strip mall,city,,"### Where could you find hundreds of beauty salon? (A) clerk (B) mall (C) strip mall (D) city 
 ### ","4) strip mall 
 ### (B) mall 
 ### (B) mall 

 ### (B) mall 
 ### (B) mall 
A strip mall is a type of shopping mall where a row of stores are located in a strip with a"
307,307,205,A,Who might wear dark glasses indoors?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['blind person', 'glove box', 'movie studio', 'ray charles',
       'glove compartment'], dtype=object)}",blind person,glove box,movie studio,ray charles,,"### Who might wear dark glasses indoors? (A) blind person (B) glove box (C) movie studio (D) ray charles 
 ### ","
 ### (D) ray charles 
 ### (D) ray charles 
A blind person would be unable to wear dark glasses indoors or outdoors, as they are unable to see anything. 
A glove box is a small, enclosed space used for storing"
308,308,1093,C,What is likely to have a better school cafeteria?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['high school', 'canteen', 'polytechnic', 'large room',
       'all kinds of schools'], dtype=object)}",high school,canteen,polytechnic,large room,,"### What is likely to have a better school cafeteria? (A) high school (B) canteen (C) polytechnic (D) large room 
 ### ","1) high school 
 ### 1) high school 
In this case, 1) high school 
 ### Which of these is likely to have a better school cafeteria? 
A) high school 
B) canteen 
C) polytechnic"
309,309,206,B,Where would stones not be arranged in a path?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['quarries', 'field', 'park', 'bridge', 'made from rocks'],
      dtype=object)}",quarries,field,park,bridge,,"### Where would stones not be arranged in a path? (A) quarries (B) field (C) park (D) bridge 
 ### ","1) quarries 
 ### 1) quarries 
 ### 1) quarries 
The answer is 1) quarries 
 ### Which of these would be considered a learned behavior?  (A) a dog sitting (B) a horse eating (C) a cat fishing (D)"
310,310,539,B,What are you getting from you boss at the end of the week?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['asking for', 'money', 'food', 'work', 'energy'], dtype=object)}",asking for,money,food,work,,"### What are you getting from you boss at the end of the week? (A) asking for (B) money (C) food (D) work 
 ### ","4) money 
 ### 4) money 
 ### Which of these is true?  (A) asking for (B) money (C) food (D) work 
 ### (B) money 
 ### (B) money 
 ### (B) money 
 ### ("
311,311,1147,D,All the power tools like the drill used for fixing cars made for a very loud workplace where?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['basement', 'work shop', 'tool shed', 'repair shop', 'store room'],
      dtype=object)}",basement,work shop,tool shed,repair shop,,"### All the power tools like the drill used for fixing cars made for a very loud workplace where? (A) basement (B) work shop (C) tool shed (D) repair shop 
 ### ","1) basement 
 ### 1) basement 
 ### 1) basement 
Normally, when working in a basement, there is a lot of noise produced from power tools, especially drills, saws, and gr"
312,312,198,C,If a person with mental illness stops treatment what will likely happen?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['managed', 'dancing', 'recur', 'effectively treated',
       'cause suffering'], dtype=object)}",managed,dancing,recur,effectively treated,,"### If a person with mental illness stops treatment what will likely happen? (A) managed (B) dancing (C) recur (D) effectively treated 
 ### ","3) recur 
 ### 3) recur 
 ### 3) recur 
A person with mental illness who stops treatment without a plan to manage symptoms will likely experience a recurrence of the illness. This is because without ongoing treatment, the person is more"
313,313,613,A,Why would you take a bus to work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['commute', 'flying', 'get somewhere', 'travel', 'go home'],
      dtype=object)}",commute,flying,get somewhere,travel,,"### Why would you take a bus to work? (A) commute (B) flying (C) get somewhere (D) travel 
 ### ","1) commute 
 ### 1) commute 
Normally, buses are used to transport people over relatively short distances, like from a  (A) house to a car (B) a city to a suburb (C) a suburb to a house (D) a school to a home"
314,314,898,B,"I listened to lecture intensely, what is my goal?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gain confidence', 'concentrate', 'get attention', 'pay attention',
       'stop talking'], dtype=object)}",gain confidence,concentrate,get attention,pay attention,,"### I listened to lecture intensely, what is my goal? (A) gain confidence (B) concentrate (C) get attention (D) pay attention 
 ### ","
 ### (B) concentrate 
 ### (B) concentrate 
 ### (B) concentrate 
 ### (B) concentrate 
A) gain confidence 
 ### (B) concentrate 
 ### (B) concentrate 
 ### (B) concentrate "
315,315,727,C,Where can books be read?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cabinet', 'backpack', 'table', 'shelf', 'sink'], dtype=object)}",cabinet,backpack,table,shelf,,"### Where can books be read? (A) cabinet (B) backpack (C) table (D) shelf 
 ### ","3) table 
 ### 3) table 
 ### 3) table 
Normally, a book can be read  (A) in a cabinet (B) in a backpack (C) on a table (D) in a shelf 
 ### (C) on a table 
 ### (C)"
316,316,561,B,Riding a bike for a long time can cause what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['enjoyment', 'fatigue', 'falling down', 'getting lost', 'thirst'],
      dtype=object)}",enjoyment,fatigue,falling down,getting lost,,"### Riding a bike for a long time can cause what? (A) enjoyment (B) fatigue (C) falling down (D) getting lost 
 ### ","2) fatigue 
 ### 2) fatigue 
A) enjoyment 
B) enjoyment (B) fatigue (C) falling down (D) getting lost 
 ### (B) fatigue 
 ### (B) fatigue 

 ### Which of"
317,317,29,B,Committing perjury is a serious what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['indictment', 'crime', 'violence', 'lie', 'go to jail'],
      dtype=object)}",indictment,crime,violence,lie,,"### Committing perjury is a serious what? (A) indictment (B) crime (C) violence (D) lie 
 ### ","4) crime 
 ### 4) crime 
 ### 4) crime 
4. crime 

 ### 4) crime 

 ### Which of these is a correct statement?  (A) committing perjury is a crime (B) lying is always a crime (C) per"
318,318,1216,A,What would you do to a rock when climb up a cliff?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['grab', 'look down', 'throw', 'falling', 'may fall'], dtype=object)}",grab,look down,throw,falling,,"### What would you do to a rock when climb up a cliff? (A) grab (B) look down (C) throw (D) falling 
 ### ","
 ### (A) grab 
 ### (A) grab 
 which of the following would be most likely to occur? 
 ### (A) grab 
 ### (A) grab 

 ### (A) grab 
 which of the following would be most likely to occur? "
